catalog_id,main_id,ra,dec,pmra,pmdec,plx_value,plx_err,otype,sp_type,rvz_radvel,rvz_err,v_mag,common_name
HD  19356,* bet Per,47.04221855625,40.95564667027778,2.99,-1.66,36.27,1.4,SB*,B8V,4.0,0.9,2.12,NAME Algol B
HD  19356,* bet Per,47.04221855625,40.95564667027778,2.99,-1.66,36.27,1.4,SB*,B8V,4.0,0.9,2.12,NAME Algol C
HD  19356,* bet Per,47.04221855625,40.95564667027778,2.99,-1.66,36.27,1.4,SB*,B8V,4.0,0.9,2.12,NAME Algol A
HD    432,* bet Cas,2.2945215777878776,59.14978109800713,523.5,-179.77,59.58,0.38,dS*,F2III,4.3,0.8,2.27,NAME Caph
HD   4614,* eta Cas,12.276227476217503,57.81517728880999,1078.609,-551.133,168.8322,0.1663,PM*,F9V,8.404,0.0004,3.44,NAME Achird
HD   4614A,* eta Cas,12.276227476217503,57.81517728880999,1078.609,-551.133,168.8322,0.1663,PM*,F9V,8.404,0.0004,3.44,NAME Achird
HD  22928,* del Per,55.73122001957376,47.78749673818805,29.038,-23.365,6.2435,0.4991,Be*,B5III,4.0,3.7,3.01,
HD  12311,* alf Hyi,29.69224409758834,-61.56982215319751,289.561,18.43,51.5547,0.8303,PM*,F0IV,18.02,1.85,2.84,
HD  32630,* eta Aur,76.6287255888596,41.23447574166194,29.771,-68.325,14.0208,0.2708,PM*,B3V,7.3,0.7,3.18,
HD  23630,* eta Tau,56.87115230375,24.105135651944444,19.34,-43.67,8.09,0.42,Be*,B7III,5.4,1.2,2.87,NAME Alcyone
HD  18925,* gam Per,46.19925046367875,53.50646183498722,-14.194,-8.684,14.1252,0.7684,SB*,G9III+A2-III:,3.13,0.13,2.93,
HD  18926,* gam Per,46.19925046367875,53.50646183498722,-14.194,-8.684,14.1252,0.7684,SB*,G9III+A2-III:,3.13,0.13,2.93,
HD  16970,* gam Cet,40.82516289811255,3.235816376495944,-146.1,-146.12,40.97,0.63,**,A2Vn+F4V,-4.9,0.9,3.47,NAME Kaffaljidhma
HD  11415,* eps Cas,28.5988920257,63.67010006633,29.587,-18.387,7.0037,0.2487,Be*,B3Vp_sh,-8.3,0.8,3.37,NAME Segin
HD  12929,* alf Ari,31.79335709957655,23.46241755020095,188.55,-148.08,49.56,0.25,PM*,K2-IIIbCa-1,-14.412,0.0005,2.01,NAME Hamal
HD  29139,* alf Tau,68.9801627900154,16.5093023507718,63.45,-188.94,48.94,0.77,LP?,K5+III,54.398,0.0008,0.86,NAME Aldebaran
HD  19058,* rho Per,46.29414106098047,38.84027619029382,129.22,-105.7,10.6,0.25,LP*,M4+IIIa,27.0672,0.005063,3.39,NAME Gorgonea Tertia
HD  24760,* eps Per,59.46349742422501,40.01019978155972,16.845,-23.554,5.3316,0.4269,bC*,B0.5III,-1.0,2.0,2.89,
HD   2151,* bet Hyi,6.43779315502228,-77.25424611998604,2219.54,324.09,134.07,0.11,PM*,G0V,23.085,0.0003,2.79,
HD  11443,* alf Tri,28.2704392446475,29.578818669729724,12.341,-233.04,51.331,0.5563,SB*,F5III,-12.6,0.9,3.42,NAME Mothallah
HD  20902,* alf Per,51.08070871833333,49.86117929305556,23.75,-26.23,6.44,0.17,V*,F5Ib,-2.158,0.0036,1.79,NAME Mirfak
HD  24398,* zet Per,58.53301031291666,31.88363368388889,7.274,-9.141,3.8556,0.4169,s*b,B1Ib,20.6,0.8,2.85,
HD  25204,* lam Tau,60.1700698910475,12.49034444100722,-6.562,-12.591,8.0397,0.4405,SB*,B4IV,17.8,0.9,3.41,
HD  31964,* eps Aur,75.49222653615,43.82331030981,0.883,-3.065,0.9879,0.1792,SB*,A9Ia,-10.4,0.4,2.99,NAME Almaaz
HD  32887,* eps Lep,76.36526836354416,-22.37103448703084,24.049,-74.951,15.5999,0.1074,PM*,K4III,1.011,0.0001,3.18,
HD  36861,* lam Ori A,83.78448366963,9.934164257309998,2.896,-3.183,2.5936,0.4032,Em*,O8III((f)),34.0,2.0,3.47,NAME lambda Ori X-3
HD  39425,* bet Col,87.73996785288541,-35.76830962121,54.452,404.6,36.9038,0.1345,PM*,K1III_CN+1,89.4,0.3,3.12,NAME Wazn
HD  24512,* gam Hyi,56.80975276363666,-74.2389628753575,50.799,114.791,15.0793,0.2001,PM*,M1III,12.76,0.25,3.26,
HD  33904,* mu. Lep,78.23292901709,-16.205463499750003,42.803,-16.017,19.1775,0.3265,a2*,B9IV:HgMn,26.2,0.16,3.29,
HD  35468,* gam Ori,81.28276355652378,6.3497032644440665,-8.11,-12.88,12.92,0.52,*,B2III,17.31,0.45,1.64,NAME Bellatrix
HD  48329,* eps Gem,100.98302979662668,25.131127192367774,-4.853,-11.78,3.7477,0.184,*,G8Ib,7.77,0.23,2.98,NAME Mebsuta
HD  31398,* iot Aur,74.24841676022209,33.166093772077225,3.817,-17.786,7.2491,0.3819,*,K3II-III,17.78,0.25,2.69,NAME Hassaleh
HD  33111,* bet Eri,76.96239535462041,-5.086496983969999,-88.481,-70.497,36.2456,0.3575,PM*,A3IV,-6.0,0.8,2.79,NAME Cursa
HD  58715,* bet CMi,111.78767390541668,8.2893157625,-51.76,-38.29,20.17,0.2,Be*,B8Ve,22.0,2.5,2.89,NAME Gomeisa
HD  29305,* alf Dor,68.49907161292998,-55.04497896378182,57.75,10.93,19.34,0.31,a2*,B8IIIpSi,25.6,0.74,3.28,
HD  40183,* bet Aur,89.88217886833333,44.94743257194444,-56.44,-0.95,40.21,0.23,SB*,A1IV-Vp,-15.75,0.62,1.9,NAME Menkalinan
HD  89021,* lam UMa,154.27408023573,42.91441380519,-152.974,-49.462,14.4594,1.0195,PM*,A1IV,13.82,1.55,3.45,NAME Tania Borealis
HD  38771,* kap Ori,86.93912016833333,-9.66960491861111,1.46,-1.28,5.04,0.22,s*b,B0.5Ia,20.5,2.0,2.06,NAME Saiph
HD  47670,* nu. Pup,99.44030260969878,-43.19593568695584,-0.537,-3.859,8.8194,0.2883,*,B8III,30.9,1.7,3.17,
HD  34085,* bet Ori,78.63446706693006,-8.201638364722209,1.31,0.5,3.78,0.34,s*b,B8Ia,17.8,0.4,0.13,NAME Rigel
HD  40312,* tet Aur,89.93029217610834,37.21258462923103,43.63,-73.79,19.7,0.16,a2*,A0VpSi,29.3,1.7,2.62,NAME Mahasim
HD  37043,* iot Ori,83.85827580502625,-5.909888523506666,-2.816,-1.693,1.9969,0.7299,SB*,O9IIIvar,27.6,0.3,2.77,NAME Hatysa
HD  37128,* eps Ori,84.05338894077023,-1.2019191358333312,1.44,-0.78,1.65,0.45,s*b,B0Ia,27.3,0.8,1.69,NAME Alnilam
HD  35411,* eta Ori,81.11923634279408,-2.397147539722221,-0.71,-3.46,3.34,1.07,bC*,B1V+B2:,19.8,0.9,3.35,
HD  48737,* ksi Gem,101.32235202269877,12.895594959796387,-114.564,-191.671,54.1894,0.2369,RG*,F5IV-V,27.2,0.7,3.36,
HD  36673,* alf Lep,83.18256716166667,-17.82228927222222,3.56,1.18,1.47,0.14,*,F0Ib,25.1,0.1,2.57,NAME Arneb
HD  36673A,* alf Lep,83.18256716166667,-17.82228927222222,3.56,1.18,1.47,0.14,*,F0Ib,25.1,0.1,2.57,NAME Arneb
HD  45348,* alf Car,95.98795782918306,-52.69566138386201,19.93,23.24,10.55,0.56,*,A9II,20.3,0.5,-0.74,NAME Canopus
HD  56855,* pi. Pup,109.28565865855,-37.09747346353528,-11.562,6.52,5.7621,0.8175,LP*,K4III,15.8,0.6,2.7,NAME Ahadi
HD  68273,* gam02 Vel,122.3831255597706,-47.336586329303486,-6.07,10.43,2.92,0.3,WR*,WC8+O7.5III-V,15.0,3.1,1.83,NAME Regor
HD  80404,* iot Car,139.27252857166667,-59.275232029166666,-18.86,11.98,4.26,0.1,*,A7Ib,12.0,0.3,2.26,NAME Aspidiske
HD  82328,* tet UMa,143.21429555749293,51.67731480847444,-942.567,-542.016,73.8284,0.2046,PM*,F7V,14.356,0.0006,3.18,
HD  84441,* eps Leo,146.46280673687792,23.77425377711222,-46.154,-10.799,14.3394,0.3209,*,G1IIIa,4.322,0.0012,2.98,
HD  74874,* eps Hya,131.6938009684597,6.4188015227537685,-228.11,-43.82,25.23,0.98,**,G1III+A8V,40.46,0.03,3.38,
HD  87737,* eta Leo,151.8331349646567,16.762663324555,-1.118,-0.655,1.7965,0.3051,sg*,A0Ib,2.82,0.02,3.41,
HD  54605,* del CMa,107.09785021416668,-26.39319957888889,-3.12,3.31,2.03,0.38,s*y,F8Ia,33.67,0.24,1.84,NAME Wezen
HD  62509,* bet Gem,116.32895777437876,28.02619889009357,-626.55,-45.8,96.54,0.27,PM*,K0IIIb,3.391,0.0003,1.14,NAME Pollux
HD  98262,* nu. UMa,169.61973835928958,33.09430607022111,-26.139,27.892,7.9823,0.4825,*,K3-III:,-9.63,0.38,3.49,NAME Alula Borealis
HD  47105,* gam Gem,99.42796042942896,16.399280426663772,13.81,-54.96,29.84,2.23,SB*,A1.5IV+,-12.63,0.02,1.92,NAME Alhena
HD  59717,* sig Pup,112.30763598742708,-43.30143539413861,-61.628,189.627,17.0234,0.5614,SB*,K5III,87.3,0.74,3.25,NAME Hadir
HD  81797,* alf Hya,141.89684459585948,-8.658599531745583,-15.23,34.37,18.09,0.18,*,K3IIIa,-4.561,0.0001,1.97,NAME Alphard
HD  91465,* p Car,158.0061045480125,-61.68533195288,-18.348,10.266,6.4438,0.3437,Be*,B4Vne,26.0,2.0,3.27,
HD  67523,* rho Pup,121.88603676458334,-24.30432442944445,-82.886,46.93,51.3999,0.2445,dS*,F5IIkF2IImF5II,45.8,0.6,2.81,NAME Tureis
HD  61421,* alf CMi,114.82549790798149,5.224987557059477,-714.59,-1036.8,284.56,1.26,SB*,F5IV-V+DQZ,-4.50528,0.020786,0.37,NAME Procyon
HD  61421,* alf CMi,114.82549790798149,5.224987557059477,-714.59,-1036.8,284.56,1.26,SB*,F5IV-V+DQZ,-4.50528,0.020786,0.37,NAME Procyon A
